X,Y
259912.7193,794407.3171
259978.4211,794416.5103
259934.2105,794237.8987
259999.2982,794247.0919
259998.6842,794237.242
259904.1228,794135.4597
259918.2456,794135.4597
259985.1754,794199.1557
