X,Y
259921,794326
259925,794326
259929,794326
259933,794325
259937,794325
259941,794326
259945,794329
259948,794333
259951,794338
259953,794342
259956,794347
259960,794351
259964,794353
259968,794353
259972,794353
259976,794353
259980,794353
259984,794353
259988,794353
259992,794352
